gene_index	gene_id	is_ensembl
839	Tor1aip2	False
840	Fam163a	False
841	Tdrd5	False
842	Nphs2	False
843	Soat1	False
844	Abl2	False
845	Tor3a	False
846	Fam20b	False
847	Ralgps2	False
848	Angptl1	False
849	1700057K13Rik	False
850	Rasal2	False
851	2810025M15Rik	False
852	BC026585	False
853	Sec16b	False
854	Fam5b	False
855	Astn1	False
856	Pappa2	False
857	Rfwd2	False
858	Scarna3a	False
859	Tnr	False
860	4930523C07Rik	False
861	4930562F07Rik	False
862	Tnn	False
863	Mrps14	False
864	Cacybp	False
865	Rabgap1l	False
866	Gpr52	False
867	Rc3h1	False
868	Serpinc1	False
869	Zbtb37	False
870	Gas5	False
871	Snord47	False
872	Dars2	False
873	Cenpl	False
874	Klhl20	False
875	Ankrd45	False
876	4930469G21Rik	False
877	Prdx6	False
878	Tnfsf4	False
879	Tnfsf18	False
880	Fasl	False
881	AI848100	False
882	4930558K02Rik	False
883	Pigc	False
884	Dnm3	False
885	2810442N19Rik	False
886	Dnm3os	False
887	Mettl13	False
888	Vamp4	False
889	Myoc	False
890	7420461P10Rik	False
891	Prrc2c	False
892	Fmo4	False
893	Fmo1	False
894	Fmo2	False
895	Fmo6	False
896	Fmo3	False
897	Prrx1	False
898	Gorab	False
899	Mettl11b	False
900	Kifap3	False
901	Scyl3	False
902	BC055324	False
903	2810422O20Rik	False
904	Sele	False
905	Sell	False
906	Selp	False
907	Gm16548	False
908	F5	False
909	Slc19a2	False
910	4930455F23Rik	False
911	Blzf1	False
912	Nme7	False
913	Atp1b1	False
914	Dpt	False
915	LOC433374	False
916	Xcl1	False
917	4930568G15Rik	False
918	Tbx19	False
919	Sft2d2	False
920	Tiprl	False
921	Gpr161	False
922	Dcaf6	False
923	Brp44	False
924	Adcy10	False
925	Mpzl1	False
926	Rcsd1	False
927	Creg1	False
928	Cd247	False
929	Pou2f1	False
930	Dusp27	False
931	Gpa33	False
932	Mael	False
933	Ildr2	False
934	Tada1	False
935	Pogk	False
936	Gm4847	False
937	Fmo9	False
938	Gm16701	False
939	Fam78b	False
940	Uck2	False
941	Tmco1	False
942	Aldh9a1	False
943	Mgst3	False
944	Lrrc52	False
945	Rxrg	False
946	Lmx1a	False
947	Pbx1	False
948	Nuf2	False
949	Rgs5	False
950	Rgs4	False
951	1700084C01Rik	False
952	Hsd17b7	False
953	3110045C21Rik	False
954	Ddr2	False
955	Uap1	False
956	Uhmk1	False
957	Sh2d1b1	False
958	Gm7694	False
959	1700015E13Rik	False
960	Nos1ap	False
961	Olfml2b	False
962	Atf6	False
963	Dusp12	False
964	Fcrlb	False
965	Fcrla	False
966	Fcgr2b	False
967	Fcgr4	False
968	Fcgr3	False
969	1700009P17Rik	False
970	Sdhc	False
971	Mpz	False
972	Pcp4l1	False
973	Nr1i3	False
974	Tomm40l	False
975	Apoa2	False
976	Fcer1g	False
977	Ndufs2	False
978	Adamts4	False
979	B4galt3	False
980	Ppox	False
981	Usp21	False
982	Ufc1	False
983	Dedd	False
984	Nit1	False
985	Pfdn2	False
986	Klhdc9	False
987	Pvrl4	False
988	Arhgap30	False
989	Usf1	False
990	Tstd1	False
991	F11r	False
992	Alyref2	False
993	Itln1	False
994	Cd244	False
995	Ly9	False
996	Slamf7	False
997	Cd48	False
998	Slamf1	False
999	Cd84	False
1000	Slamf6	False
1001	Vangl2	False
1002	Nhlh1	False
1003	Ncstn	False
1004	Copa	False
1005	Pex19	False
1006	Dcaf8	False
1007	Pea15a	False
1008	Casq1	False
1009	Atp1a4	False
1010	Atp1a2	False
1011	Igsf8	False
1012	Kcnj9	False
1013	Kcnj10	False
1014	Pigm	False
1015	Slamf9	False
1016	Igsf9	False
1017	Tagln2	False
1018	Ccdc19	False
1019	4933439K11Rik	False
1020	Vsig8	False
1021	Slamf8	False
1022	Fcrl6	False
1023	Dusp23	False
1024	Crp	False
1025	Apcs	False
1026	Fcer1a	False
1027	Darc	False
1028	Cadm3	False
1029	Aim2	False
1030	BC094916	False
1031	Pydc4	False
1032	Pyhin1	False
1033	Pydc3	False
1034	AI607873	False
1035	Ifi204	False
1036	Mndal	False
1037	Mnda	False
1038	Ifi203	False
1039	Ifi202b	False
1040	Ifi205	False
1041	Olfr433	False
1042	Olfr432	False
1043	Spna1	False
1044	1810030J14Rik	False
1045	Olfr414	False
1046	Fmn2	False
1047	Grem2	False
1048	Rgs7	False
1049	Fh1	False
1050	Kmo	False
1051	Opn3	False
1052	Chml	False
1053	Wdr64	False
1054	Exo1	False
1055	Pld5	False
1056	Cep170	False
1057	Mir350	False
1058	Sdccag8	False
1059	Hmga2-ps1	False
1060	Akt3	False
1061	Zfp238	False
1062	2310043L19Rik	False
1063	1700016C15Rik	False
1064	Adss	False
1065	Gm16432	False
1066	Pppde1	False
1067	Fam36a	False
1068	Hnrnpu	False
1069	Efcab2	False
1070	Kif26b	False
1071	Smyd3	False
1072	Tfb2m	False
1073	Cnst	False
1074	Sccpdh	False
1075	Ahctf1	False
1076	Cdc42bpa	False
1077	Adck3	False
1078	Psen2	False
1079	Gm5069	False
1080	Itpkb	False
1081	6330403A02Rik	False
1082	Parp1	False
1083	Lin9	False
1084	Mixl1	False
1085	Acbd3	False
1086	H3f3a	False
1087	BC031781	False
1088	Lefty2	False
1089	Pycr2	False
1090	Lefty1	False
1091	Tmem63a	False
1092	Ephx1	False
1093	9130409I23Rik	False
1094	Nvl	False
1095	Cnih4	False
1096	Wdr26	False
1097	Cnih3	False
1098	Ccdc121	False
1099	Lbr	False
1100	Enah	False
1101	Srp9	False
1102	Degs1	False
1103	1700047M11Rik	False
1104	Fbxo28	False
1105	Trp53bp2	False
1106	Capn2	False
1107	Capn8	False
1108	Susd4	False
1109	Tlr5	False
1110	Disp1	False
1111	Brox	False
1112	Aida	False
1113	Mia3	False
1114	Taf1a	False
1115	Hhipl2	False
1116	1700056E22Rik	False
1117	Dusp10	False
1118	1700112H15Rik	False
1119	Hlx	False
1120	Mosc1	False
1121	Mosc2	False
1122	Mir1981	False
1123	C130074G19Rik	False
1124	Mark1	False
1125	Rab3gap2	False
1126	Iars2	False
1127	Mir215	False
1128	Bpnt1	False
1129	Eprs	False
1130	9630028B13Rik	False
1131	Gm2061	False
1132	Slc30a10	False
1133	5033404E19Rik	False
1134	Lyplal1	False
1135	Tgfb2	False
1136	Rrp15	False
1137	D1Pas1	False
1138	Spata17	False
1139	1700007P06Rik	False
1140	Gpatch2	False
1141	Esrrg	False
1142	9330162B11Rik	False
1143	Ush2a	False
1144	Kctd3	False
1145	Kcnk2	False
1146	Cenpf	False
1147	Ptpn14	False
1148	Smyd2	False
1149	Prox1	False
1150	Rps6kc1	False
1151	Angel2	False
1152	Vash2	False
1153	Mfsd7b	False
1154	A230020J21Rik	False
1155	1700022P22Rik	False
1156	Tatdn3	False
1157	Nsl1	False
1158	Batf3	False
1159	Fam71a	False
1160	Atf3	False
1161	Nenf	False
1162	Tmem206	False
1163	Ppp2r5a	False
1164	Dtl	False
1165	Ints7	False
1166	Lpgat1	False
1167	Nek2	False
1168	1700034H15Rik	False
1169	Slc30a1	False
1170	Rd3	False
1171	Traf5	False
1172	Rcor3	False
1173	Gm10516	False
1174	Kcnh1	False
1175	Hhat	False
1176	1700065J18Rik	False
1177	Sertad4	False
1178	Syt14	False
1179	Diexf	False
1180	Irf6	False
1181	A130010J15Rik	False
1182	Traf3ip3	False
1183	Hsd11b1	False
1184	G0s2	False
1185	Lamb3	False
1186	Camk1g	False
1187	Plxna2	False
1188	Cd34	False
1189	Gm16897	False
1190	A330023F24Rik	False
1191	Cd46	False
1192	Cr1l	False
1193	Cr2	False
1194	H60c	False
1195	Ppp1r14c	False
1196	Iyd	False
1197	Plekhg1	False
1198	Mthfd1l	False
1199	Akap12	False
1200	Zbtb2	False
1201	Rmnd1	False
1202	Gm5512	False
1203	1700052N19Rik	False
1204	Gm221	False
1205	Esr1	False
1206	Syne1	False
1207	Myct1	False
1208	Vip	False
1209	Fbxo5	False
1210	Mtrf1l	False
1211	Rgs17	False
1212	Oprm1	False
1213	Ipcef1	False
1214	Cnksr3	False
1215	Ulbp1	False
1216	Lrp11	False
1217	Pcmt1	False
1218	A630066F11Rik	False
1219	Nup43	False
1220	BC020402	False
1221	Lats1	False
1222	Katna1	False
1223	BC013529	False
1224	Ppil4	False
1225	Zc3h12d	False
1226	Tab2	False
1227	Ust	False
1228	Sash1	False
1229	Samd5	False
1230	Gm6150	False
1231	Stxbp5	False
1232	9130014G24Rik	False
1233	Rab32	False
1234	Gm5177	False
1235	Grm1	False
1236	Shprh	False
1237	Fbxo30	False
1238	Epm2a	False
1239	Utrn	False
1240	B230208H11Rik	False
1241	Stx11	False
1242	Sf3b5	False
1243	Plagl1	False
1244	Fam164b	False
1245	Ltv1	False
1246	Phactr2	False
1247	Fuca2	False
1248	Pex3	False
1249	Adat2	False
1250	Aig1	False
1251	Hivep2	False
1252	Gpr126	False
1253	Vta1	False
1254	1700016L04Rik	False
1255	Gje1	False
1256	Gm20125	False
1257	Cited2	False
1258	Txlnb	False
1259	Heca	False
1260	3110003A17Rik	False
1261	Reps1	False
1262	Ect2l	False
1263	Ccdc28a	False
1264	Nhsl1	False
1265	Hebp2	False
1266	D10Bwg1379e	False
1267	Gm4922	False
1268	4930444F02Rik	False
1269	Perp	False
1270	Tnfaip3	False
1271	Gm20139	False
1272	Olig3	False
1273	Ifngr1	False
1274	Il22ra2	False
1275	Il20ra	False
1276	Slc35d3	False
1277	Pex7	False
1278	Map3k5	False
1279	Mtap7	False
1280	4930405J17Rik	False
1281	Gm6251	False
1282	Bclaf1	False
1283	Fam54a	False
1284	Pde7b	False
1285	Ahi1	False
1286	Myb	False
1287	Hbs1l	False
1288	4930455C13Rik	False
1289	Aldh8a1	False
1290	1700020N01Rik	False
1291	Gm5420	False
