tissue,mouse_id,age_months,sex,n_cells
spleen,30-M-4,24m,female,0
spleen,30-M-4,24m,male,0
spleen,30-M-4,30m,female,0
spleen,30-M-4,30m,male,3392
spleen,30-M-5,1m,female,0
spleen,30-M-5,1m,male,0
spleen,30-M-5,3m,female,0
spleen,30-M-5,3m,male,0
spleen,30-M-5,18m,female,0
spleen,30-M-5,18m,male,0
spleen,30-M-5,21m,female,0
spleen,30-M-5,21m,male,0
spleen,30-M-5,24m,female,0
spleen,30-M-5,24m,male,0
spleen,30-M-5,30m,female,0
spleen,30-M-5,30m,male,2696
kidney,1-M-62,1m,female,0
kidney,1-M-62,1m,male,1325
kidney,1-M-62,3m,female,0
kidney,1-M-62,3m,male,0
kidney,1-M-62,18m,female,0
kidney,1-M-62,18m,male,0
kidney,1-M-62,21m,female,0
kidney,1-M-62,21m,male,0
kidney,1-M-62,24m,female,0
kidney,1-M-62,24m,male,0
kidney,1-M-62,30m,female,0
kidney,1-M-62,30m,male,0
kidney,1-M-63,1m,female,0
kidney,1-M-63,1m,male,1163
kidney,1-M-63,3m,female,0
kidney,1-M-63,3m,male,0
kidney,1-M-63,18m,female,0
kidney,1-M-63,18m,male,0
kidney,1-M-63,21m,female,0
kidney,1-M-63,21m,male,0
kidney,1-M-63,24m,female,0
kidney,1-M-63,24m,male,0
kidney,1-M-63,30m,female,0
kidney,1-M-63,30m,male,0
kidney,3-F-57,1m,female,0
kidney,3-F-57,1m,male,0
kidney,3-F-57,3m,female,1118
kidney,3-F-57,3m,male,0
kidney,3-F-57,18m,female,0
kidney,3-F-57,18m,male,0
kidney,3-F-57,21m,female,0
kidney,3-F-57,21m,male,0
kidney,3-F-57,24m,female,0
kidney,3-F-57,24m,male,0
kidney,3-F-57,30m,female,0
kidney,3-F-57,30m,male,0
kidney,3-M-8,1m,female,0
kidney,3-M-8,1m,male,0
kidney,3-M-8,3m,female,0
kidney,3-M-8,3m,male,524
kidney,3-M-8,18m,female,0
kidney,3-M-8,18m,male,0
kidney,3-M-8,21m,female,0
kidney,3-M-8,21m,male,0
kidney,3-M-8,24m,female,0
kidney,3-M-8,24m,male,0
kidney,3-M-8,30m,female,0
kidney,3-M-8,30m,male,0
kidney,3-M-9,1m,female,0
kidney,3-M-9,1m,male,0
kidney,3-M-9,3m,female,0
kidney,3-M-9,3m,male,688
kidney,3-M-9,18m,female,0
kidney,3-M-9,18m,male,0
kidney,3-M-9,21m,female,0
kidney,3-M-9,21m,male,0
kidney,3-M-9,24m,female,0
kidney,3-M-9,24m,male,0
kidney,3-M-9,30m,female,0
kidney,3-M-9,30m,male,0
kidney,18-F-50,1m,female,0
kidney,18-F-50,1m,male,0
kidney,18-F-50,3m,female,0
kidney,18-F-50,3m,male,0
kidney,18-F-50,18m,female,825
kidney,18-F-50,18m,male,0
kidney,18-F-50,21m,female,0
kidney,18-F-50,21m,male,0
kidney,18-F-50,24m,female,0
kidney,18-F-50,24m,male,0
kidney,18-F-50,30m,female,0
kidney,18-F-50,30m,male,0
kidney,18-F-51,1m,female,0
kidney,18-F-51,1m,male,0
kidney,18-F-51,3m,female,0
kidney,18-F-51,3m,male,0
kidney,18-F-51,18m,female,1197
kidney,18-F-51,18m,male,0
kidney,18-F-51,21m,female,0
kidney,18-F-51,21m,male,0
kidney,18-F-51,24m,female,0
kidney,18-F-51,24m,male,0
kidney,18-F-51,30m,female,0
kidney,18-F-51,30m,male,0
kidney,18-M-52,1m,female,0
kidney,18-M-52,1m,male,0
kidney,18-M-52,3m,female,0
kidney,18-M-52,3m,male,0
kidney,18-M-52,18m,female,0
kidney,18-M-52,18m,male,1116
kidney,18-M-52,21m,female,0
kidney,18-M-52,21m,male,0
kidney,18-M-52,24m,female,0
kidney,18-M-52,24m,male,0
kidney,18-M-52,30m,female,0
kidney,18-M-52,30m,male,0
kidney,21-F-54,1m,female,0
kidney,21-F-54,1m,male,0
kidney,21-F-54,3m,female,0
kidney,21-F-54,3m,male,0
kidney,21-F-54,18m,female,0
kidney,21-F-54,18m,male,0
kidney,21-F-54,21m,female,1167
kidney,21-F-54,21m,male,0
kidney,21-F-54,24m,female,0
kidney,21-F-54,24m,male,0
kidney,21-F-54,30m,female,0
kidney,21-F-54,30m,male,0
kidney,21-F-55,1m,female,0
kidney,21-F-55,1m,male,0
kidney,21-F-55,3m,female,0
kidney,21-F-55,3m,male,0
kidney,21-F-55,18m,female,0
kidney,21-F-55,18m,male,0
kidney,21-F-55,21m,female,1090
kidney,21-F-55,21m,male,0
kidney,21-F-55,24m,female,0
kidney,21-F-55,24m,male,0
kidney,21-F-55,30m,female,0
kidney,21-F-55,30m,male,0
kidney,24-M-58,1m,female,0
kidney,24-M-58,1m,male,0
kidney,24-M-58,3m,female,0
kidney,24-M-58,3m,male,0
kidney,24-M-58,18m,female,0
kidney,24-M-58,18m,male,0
kidney,24-M-58,21m,female,0
kidney,24-M-58,21m,male,0
kidney,24-M-58,24m,female,0
kidney,24-M-58,24m,male,2890
